date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
1Moltyman;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;25770;
1MWP;678;678;4413;7662;14235;14235;20850;20850;27220;27220;27220;27220;27220;48340;48340;48340;48340;48340;48340;48340;48340;48342;81512;81606;81606;81606;81606;81606;81606;81606;
1ncen;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;
1ninjawarrior;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;62394;63001;63001;63001;63001;63001;63001;63001;63001;
1nj;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3404;3416;3416;3513;3513;3513;3513;3513;3513;3513;
1nsstinct;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;9098;
1ntex;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;
1O38;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;17484;
1P7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
1peewee;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;3408;
1RandomNoob;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;
1Shoko;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;11159;
1Shredded1;1086;1086;1086;1086;1086;0;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;
1spirit1_;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;8419;
1stAirborne;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;3061;
1VB;500043;500043;500043;500043;500043;500043;500043;500043;500043;653643;653643;679243;679243;679243;679243;679243;679243;694443;694443;694443;694443;694443;694443;694443;694443;694443;694443;694443;694443;694443;
1WildesUnicorn;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;
1XVI;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;3224;
1_asa_1;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;10003;
1_Nn;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;155429;
